Directory,Id,Test Run ID,Test Case ID,Name,Status,Executed By,Executed End,Application,Module,Requirement,Requirement Name,Defect IDs
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70001,70001,50001,"Finance end-to-end scenario 001 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Finance requirement 0,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70002,70002,50002,"Finance end-to-end scenario 002 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Finance requirement 0,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70003,70003,50003,"Finance end-to-end scenario 003 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Finance requirement 0,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70004,70004,50004,"Finance end-to-end scenario 004 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Finance requirement 0,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70005,70005,50005,"Finance end-to-end scenario 005 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Finance requirement 0,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70006,70006,50006,"Finance end-to-end scenario 006 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Finance requirement 0,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70007,70007,50007,"Finance end-to-end scenario 007 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Finance requirement 0,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70008,70008,50008,"Finance end-to-end scenario 008 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Finance requirement 1,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70009,70009,50009,"Finance end-to-end scenario 009 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Finance requirement 1,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70010,70010,50010,"Finance end-to-end scenario 010 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Finance requirement 1,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70011,70011,50011,"Finance end-to-end scenario 011 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Finance requirement 1,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70012,70012,50012,"Finance end-to-end scenario 012 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Finance requirement 1,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70013,70013,50013,"Finance end-to-end scenario 013 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Finance requirement 1,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70014,70014,50014,"Finance end-to-end scenario 014 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Finance requirement 1,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70015,70015,50015,"Finance end-to-end scenario 015 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Finance requirement 2,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70016,70016,50016,"Finance end-to-end scenario 016 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Finance requirement 2,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70017,70017,50017,"Finance end-to-end scenario 017 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Finance requirement 2,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70018,70018,50018,"Finance end-to-end scenario 018 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Finance requirement 2,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70019,70019,50019,"Finance end-to-end scenario 019 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Finance requirement 2,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70020,70020,50020,"Finance end-to-end scenario 020 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Finance requirement 2,
